NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
26260;40G9;26;56;26;20;5;5;LAT;56.43;20.08;25-32;SWE (SD 25-32)
26292;41G10;26;56;4;19;42.5;3;LAT;56.07;19.71;25-32;SWE (SD 25-32)
27001;43G6;27;57;23.06;16;53.08;4;SWE;57.38;16.88;25-32;SWE (SD 25-32)
27003;43G6;27;57;24.8;17;1.5;3;SWE;57.41;17.03;25-32;SWE (SD 25-32)
27005;42G6;27;56;57.6;17;10.8;5;SWE;56.96;17.18;25-32;SWE (SD 25-32)
27009;42G6;27;57;4;17;54;4;SWE;57.07;17.90;25-32;SWE (SD 25-32)
27011;42G7;27;57;27.5;17;32.8;5;SWE;57.46;17.55;25-32;SWE (SD 25-32)
27014;43G7;27;57;37;17;6.05;5;SWE;57.62;17.10;25-32;SWE (SD 25-32)
27020;43G7;27;57;21.9;16;55.1;3;SWE;57.37;16.92;25-32;SWE (SD 25-32)
27022;43G7;27;56;42.2;16;59.1;4;SWE;56.70;16.99;25-32;SWE (SD 25-32)
27024;44G8;27;57;1.9;17;57.5;5;SWE;57.03;17.96;25-32;SWE (SD 25-32)
27030;44G8;27;57;13.66;17;23.23;4;SWE;57.23;17.39;25-32;SWE (SD 25-32)
28062;42H0;28;56;31.1;20;13.8;5;LAT;56.52;20.23;25-32;SWE (SD 25-32)
28072;43G8;28;57;15.4;19;4.3;5;SWE;57.26;19.07;25-32;SWE (SD 25-32)
28098;43G9;28;57;20.2;19;8.1;5;SWE;57.34;19.14;25-32;SWE (SD 25-32)
28182;42G8;28;57;46.71;19;28.85;5;SWE;57.78;19.48;25-32;SWE (SD 25-32)
28188;44H0;28;57;36.88;19;10.15;3;SWE;57.61;19.17;25-32;SWE (SD 25-32)
28189;42G8;28;58;20.42;19;6.6;4;SWE;58.34;19.11;25-32;SWE (SD 25-32)
25347;39G7;25;55;50.1;15;56.77;3;SWE;55.84;15.95;25-32;SWE (SD 25-32)
25353;39G7;25;55;42.1;14;33;3;SWE;55.70;14.55;25-32;SWE (SD 25-32)
25391;40G4;25;55;40.1;14;43.46;3;SWE;55.67;14.72;25-32;SWE (SD 25-32)
25403;40G4;25;55;51.93;16;26.14;3;SWE;55.87;16.44;25-32;SWE (SD 25-32)
25425;40G5;25;55;42.55;14;51;3;SWE;55.71;14.85;25-32;SWE (SD 25-32)
25429;40G5;25;55;57.91;15;24.6;3;SWE;55.97;15.41;25-32;SWE (SD 25-32)
28177;44G9;28;57;11.07;18;48.65;3;SWE;57.18;18.81;25-32;SWE (SD 25-32)
