NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;geometry;length;Area
27024;V;2,825824544;89;5;SWE;No;57,0191666666667;17,9513888888889;56,9836111111111;17,9355555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,9836111111111;17,9355555555556;c(17.9513888888889, 17.9355555555556, 57.0191666666667, 56.9836111111111);4074,69733292502;27
27025;V;1,735843235;74;4;SWE;No;57,4358333333333;17,1008333333333;57,4672222222222;17,0838888888889;57,4675;17,0680555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4675;17,0680555555556;c(17.1008333333333, 17.0838888888889, 17.0680555555556, 57.4358333333333, 57.4672222222222, 57.4675);4591,35247358012;27
27026;V;1,432017468;95;5;SWE;No;57,4991666666667;17,7183333333333;57,4516666666667;17,7377777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4516666666667;17,7377777777778;c(17.7183333333333, 17.7377777777778, 57.4991666666667, 57.4516666666667);5417,09877014124;27
27027;V;2,200000001;98;5;SWE;No;57,7522222222222;18,1172222222222;57,8158333333333;18,1172222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,8158333333333;18,1172222222222;c(18.1172222222222, 18.1172222222222, 57.7522222222222, 57.8158333333333);7084,61335347699;27
27028;V;2,691168587;67;4;SWE;No;56,6625;16,9877777777778;56,6863888888889;16,9969444444444;56,7008333333333;17,0041666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,7008333333333;17,0041666666667;c(16.9877777777778, 16.9969444444444, 17.0041666666667, 56.6625, 56.6863888888889, 56.7008333333333);4387,04143791416;27
27029;V;3,174646016;72;4;SWE;No;57,3036111111111;17,4272222222222;57,3363888888889;17,4213888888889;57,3508333333333;17,4247222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3508333333333;17,4247222222222;c(17.4272222222222, 17.4213888888889, 17.4247222222222, 57.3036111111111, 57.3363888888889, 57.3508333333333);5288,28938207755;27
27030;V;4,106329494;76;4;SWE;No;57,235;17,3897222222222;57,2525;17,4163888888889;57,3011111111111;17,4252777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3011111111111;17,4252777777778;c(17.3897222222222, 17.4163888888889, 17.4252777777778, 57.235, 57.2525, 57.3011111111111);7967,93036540645;27
27031;V;;53;3;SWE;No;57,0902777777778;17,385;57,0536111111111;17,1352777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0536111111111;17,1352777777778;c(17.385, 17.1352777777778, 57.0902777777778, 57.0536111111111);15687,5794460738;27
28001;V;1,40215345;41;3;LAT;No;56,6677777777778;20,7355555555556;56,6519444444444;20,7358333333333;56,6508333333333;20,7358333333333;56,6655555555556;20,7358333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,6655555555556;20,7358333333333;c(20.7355555555556, 20.7358333333333, 20.7358333333333, 20.7358333333333, 56.6677777777778, 56.6519444444444, 56.6508333333333, 56.6655555555556);3526,28428723546;28
28002;V;1,525491402;42;3;LAT;No;56,6013888888889;20,6841666666667;56,6025;20,6858333333333;56,6172222222222;20,7016666666667;56,6183333333333;20,7172222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,6183333333333;20,7172222222222;c(20.6841666666667, 20.6858333333333, 20.7016666666667, 20.7172222222222, 56.6013888888889, 56.6025, 56.6172222222222, 56.6183333333333);3029,57501181481;28
28005;V;1,069486973;46;3;LAT;No;57,2011111111111;21,1013888888889;57,1844444444444;21,0855555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,1844444444444;21,0855555555556;c(21.1013888888889, 21.0855555555556, 57.2011111111111, 57.1844444444444);2088,3630622154;28
28006;V;1,566076632;63;4;LAT;No;57,3355555555556;20,8680555555556;57,3347222222222;20,8841666666667;57,3338888888889;20,9002777777778;57,3188888888889;20,9019444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3188888888889;20,9019444444444;c(20.8680555555556, 20.8841666666667, 20.9002777777778, 20.9019444444444, 57.3355555555556, 57.3347222222222, 57.3338888888889, 57.3188888888889);3622,95648368444;28
