Status;NrHaul;RectangleAlpha;ICES SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Longitude2_deg;Longitude2_dec_min;Latitude3_deg;Latitude3_dec_min;Longitude3_deg;Longitude3_dec_min;Latitude4_deg;Latitude4_dec_min;Longitude4_deg;Longitude4_dec_min;Latitude5_deg;Latitude5_dec_min;Longitude5_deg;Longitude5_dec_min;Latitude6_deg;Latitude6_dec_min;Longitude6_deg;Longitude6_dec_min;Latitude7_deg;Latitude7_dec_min;Longitude7_deg;Longitude7_dec_min;Latitude8_deg;Latitude8_dec_min;Longitude8_deg;Longitude8_dec_min;Latitude9_deg;Latitude9_dec_min;Longitude9_deg;Longitude9_dec_min;Latitude10_deg;Latitude10_dec_min;Longitude10_deg;Longitude10_dec_min;0;Mean_Depth;Depth1;Depth2;Depth3;Depth4;Depth5;Depth6;Depth7;Depth8;Depth9;Depth10;Source;EEZ;NM12;Rope;Direction;Distance;0;0;Dist;Layer;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;;
V;22050;37G1;22;54;14,6;11;20,2;54;12;11;20,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;23;23;;;;;;;;;Havfisken;GFR;No;;;2,602628031;;2;2,602628031;2;54;12;11;20,4;;
V;22051;37G1;22;54;14,48;11;43,21;54;14,72;11;46,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;25;;;;;;;;;German R/V;GFR;No;1;1;3,529658922;;1;1,66523591;2;54;14,72;11;46,03;;
V;22052;37G1;22;54;17,07;11;54,94;54;18,5;11;55,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;23;23;;;;;;;;;Havfisken;GFR;No;;1;2,220920655;;2;1,500702709;2;54;18,5;11;55,72;;
V;22053;37G1;22;54;18,48;11;41,42;54;17,78;11;36,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;25;;;;;;;;;German R/V;GFR;No;1;1;2,971989309;;2;2,971989309;2;54;17,78;11;36,47;;
I;22054;37G0;22;54;29,23;10;42,23;54;29,15;10;46,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;17;17;;;;;;;;;German R/V;GFR;No;1;;2,499128139;;2;2,499128139;2;54;29,15;10;46,53;;
I;22055;37G0;22;54;22,4;10;40,17;54;24,9;10;40,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;21;21;;;;;;;;;German R/V;GFR;No;1;1;2,50152487;;1;2,50152487;2;54;24,9;10;40,02;;
V;22056;37G1;22;54;20,3;11;22,58;54;18,16;11;20,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;21;21;;;;;;;;;German R/V;GFR;No;1;1;2,498215162;;2;2,498215162;2;54;18,16;11;20,37;;
V;22057;37G1;22;54;24,53;11;25,38;54;20,59;11;24,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;22;23;;;;;;;;;German R/V;GFR;No;1;1;4,000503846;;2;4,000503846;2;54;20,59;11;24,19;;
V;22058;37G1;22;54;27,17;11;25,18;54;24;11;25,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;23;24;;;;;;;;;German R/V;GFR;No;1;;3,171366239;;2;3,171366239;2;54;24;11;25,34;;
V;22060;37G1;22;54;22,5;11;47,24;54;22,57;11;42,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;24;25;;;;;;;;;German R/V;GFR;No;1;1;2,808374984;;2;2,808374984;2;54;22,57;11;42,42;;
