"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"188";26135;"40H0";26;54;56.4;19;24.2;6;"RUS"
"189";26138;"40H0";26;55;52.8;18;49;6;"POL"
"190";26140;"40H0";26;56;0.4;18;54.1;6;"SWE"
"191";26141;"40G9";26;56;19;18;40;6;"LAT"
"192";26142;"40H0";26;56;12;19;28;6;"LAT"
"193";26144;"40H0";26;56;22;19;29;6;"LAT"
"194";26145;"41G8";26;56;27.9;19;49.7;6;"LAT"
"195";26148;"41G9";26;55;4.7;19;37.1;5;"LAT"
"196";26150;"41G9";26;55;3.5;20;33.5;2;"RUS"
"197";26151;"41G8";26;55;19.5;19;13.1;5;"RUS"
"198";26161;"38G9";26;55;28.8;18;18.1;5;"POL"
"199";26163;"38G9";26;54;24.9;19;18.9;3;"POL"
"200";26169;"38G8";26;54;46.3;18;41.5;2;"POL"
"201";26186;"39G9";26;55;0;18;30;4;"POL"
"202";26191;"39G9";26;54;40.7;19;17.8;5;"POL"
"203";26197;"39G9";26;55;47.7;20;4;4;"LTU"
"204";26199;"39G9";26;56;22.8;19;42.4;6;"LAT"
"205";26206;"39G8";26;55;45.8;20;20;3;"LTU"
"206";26208;"39G8";26;55;38.6;20;14.9;4;"LTU"
"207";26209;"39G8";26;56;18;19;31.5;6;"LAT"
"208";26215;"39G8";26;55;52;20;5.2;4;"LTU"
"209";26216;"39G8";26;54;23.9;19;16.3;2;"POL"
"210";26219;"40G8";26;54;23.5;18;58.5;2;"POL"
"211";26221;"40G8";26;55;55.2;18;35.21;6;"SWE"
"212";26224;"40G8";26;56;22.01;18;26.8;2;"SWE"
"213";26225;"40G8";26;56;18.8;18;23.29;3;"SWE"
"214";26256;"40G8";26;54;26.8;19;18.6;4;"POL"
"215";26257;"39G9";26;54;55.5;19;3;6;"POL"
"216";26261;"40G9";26;54;25.5;19;18.5;3;"POL"
"217";26263;"40G9";26;54;23.7;18;59.5;2;"POL"
"218";26265;"40H0";26;54;26;19;6;3;"POL"
"219";26266;"40G8";26;54;48.2;18;32.9;2;"POL"
"220";26267;"39G8";26;54;54.6;18;36.1;3;"POL"
"221";26268;"40G9";26;54;59.3;18;31.7;4;"POL"
"222";26269;"40G9";26;54;36.7;19;9.2;5;"LAT"
"223";26274;"41H0";26;54;53.8;18;10.2;2;"POL"
"224";26278;"38G9";26;54;59;18;46.2;5;"POL"
"225";26280;"38G9";26;54;29.6;18;53.4;4;"POL"
"226";26281;"40G8";26;54;26.3;19;4;3;"POL"
"227";26288;"41G9";26;54;36.5;19;8.7;5;"POL"
"228";26289;"41G9";26;54;26.1;19;6.4;3;"POL"
"229";26291;"41G9";26;54;49.8;19;20.4;6;"RUS"
"230";27001;"43G6";27;57;23.06;16;53.08;4;"SWE"
"231";27003;"43G6";27;57;24.8;17;1.5;3;"SWE"
"232";27007;"42G6";27;56;59.35;17;56.63;4;"SWE"
"233";27009;"42G6";27;57;4;17;54;4;"SWE"
"234";27014;"43G7";27;57;37;17;6.05;5;"SWE"
"235";27021;"43G7";27;56;32.3;16;50.1;5;"SWE"
"236";27024;"44G8";27;57;1.9;17;57.5;5;"SWE"
"237";27028;"44G8";27;56;39.45;16;58.76;4;"SWE"
"238";27029;"44G8";27;57;18.13;17;24.98;4;"SWE"
"239";27031;"44G8";27;57;1.265;17;7.966;3;"SWE"
"240";28009;"43H1";28;57;24.2;21;20.7;2;"LAT"
"241";28013;"42H0";28;56;39;20;40.2;3;"LAT"
"242";28039;"43H1";28;57;1.9;20;32.2;5;"LAT"
"243";28055;"44H1";28;57;47;21;22.5;4;"LAT"
"244";28061;"45G9";28;58;27.8;21;34.6;4;"EST"
"245";28062;"42H0";28;56;31.1;20;13.8;5;"LAT"
"246";28070;"42H0";28;57;8;20;35;5;"LAT"
"247";28072;"43G8";28;57;15.4;19;4.3;5;"SWE"
