;X;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
244;244;24310;38G3;24;54;59.327;13;52.1836;3;GFR;54.98878333;13.86972667;21-24;GFR (SD 21-24)
245;245;24313;39G3;24;55;2.3696;13;25.4476;3;SWE;55.03949333;13.42412667;21-24;GFR (SD 21-24)
246;246;24315;39G3;24;55;4.9;13;43.54;3;SWE;55.08166667;13.72566667;21-24;GFR (SD 21-24)
247;247;24319;39G4;24;55;5;14;10.2;3;DEN;55.08333333;14.17;21-24;GFR (SD 21-24)
248;248;24323;39G3;24;55;14.9;13;52.1;3;SWE;55.24833333;13.86833333;21-24;GFR (SD 21-24)
249;249;24324;39G3;24;55;9;13;55.9;3;SWE;55.15;13.93166667;21-24;GFR (SD 21-24)
250;250;22013;38G1;22;54;31.38;11;19.27;2;GFR;54.523;11.32116667;21-24;GFR (SD 21-24)
251;251;22141;37G1;22;54;14.4;11;25.3;2;GFR;54.24;11.42166667;21-24;GFR (SD 21-24)
252;252;22145;37G1;22;54;17.9;11;31.6;2;GFR;54.29833333;11.52666667;21-24;GFR (SD 21-24)
253;253;22146;37G1;22;54;17.75;11;36.3;2;GFR;54.29583333;11.605;21-24;GFR (SD 21-24)
254;254;25049;38G5;25;54;32.5;15;46.1;3;POL;54.54166667;15.76833333;25-32;POL (SD 25-32)
255;255;25084;39G7;25;55;23;17;22;3;POL;55.38333333;17.36666667;25-32;POL (SD 25-32)
256;256;25413;40G5;25;55;50.1;15;56.8;3;SWE;55.835;15.94666667;25-32;SWE (SD 25-32)
257;257;25428;40G6;25;55;45.5;16;40.2;3;SWE;55.75833333;16.67;25-32;DEN (SD 25-32)
258;258;25431;40G6;25;55;52.2;16;1.1;3;SWE;55.87;16.01833333;25-32;DEN (SD 25-32)
259;259;27024;43G7;27;57;1.9;17;57.5;4;SWE;57.03166667;17.95833333;25-32;SWE (SD 25-32)
260;260;28007;43H1;28;57;20.6;21;18.9;3;LAT;57.34333333;21.315;25-32;LAT (SD 25-32)
