Allocation method;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
Standard;25235;39G4;25;55;29.1;14;46.3;4;DEN;55.485;14.77166667;25-32;DEN (SD 25-32)
Standard;25241;39G5;25;55;20.9;15;22.3;4;DEN;55.34833333;15.37166667;25-32;DEN (SD 25-32)
Standard;25244;39G6;25;55;23;16;19.2;4;DEN;55.38333333;16.32;25-32;DEN (SD 25-32)
Standard;25246;39G6;25;55;21;16;57;4;POL;55.35;16.95;25-32;POL (SD 25-32)
Standard;25250;39G7;25;55;24;17;30.3;4;POL;55.4;17.505;25-32;POL (SD 25-32)
Standard;25277;40G5;25;55;34.4;15;34.8;4;DEN;55.57333333;15.58;25-32;DEN (SD 25-32)
Standard;25282;40G6;25;55;32.1;16;10.6;4;SWE;55.535;16.17666667;25-32;DEN (SD 25-32)
Standard;25286;40G6;25;55;34.9;16;26.1;4;SWE;55.58166667;16.435;25-32;DEN (SD 25-32)
Re-allocated;25290;40G7;25;55;30;17;53.8;4;POL;55.5;17.89666667;25-32;POL (SD 25-32)
Standard;25305;40G6;25;55;44;16;20;4;SWE;55.73333333;16.33333333;25-32;DEN (SD 25-32)
Re-allocated;25308;40G7;25;55;44.1;17;55.7;4;POL;55.735;17.92833333;25-32;POL (SD 25-32)
Standard;25322;39G5;25;55;3.1;15;42.6;5;grey;55.05166667;15.71;25-32;DEN (SD 25-32)
Standard;25326;39G6;25;55;8.1;16;3.6;5;grey;55.135;16.06;25-32;DEN (SD 25-32)
Standard;25330;39G5;25;55;15.7;15;58.7;3;DEN;55.26166667;15.97833333;25-32;DEN (SD 25-32)
Standard;25331;39G6;25;55;16.1;16;3.9;5;DEN;55.26833333;16.065;25-32;DEN (SD 25-32)
Standard;25339;39G7;25;55;15.5;17;25.5;5;POL;55.25833333;17.425;25-32;POL (SD 25-32)
